platform,count,rank,share_pct
Amazon Web Services (AWS),10516,1,26.85
Microsoft Azure,6380,2,16.29
Google Cloud,5431,3,13.87
Cloudflare,4219,4,10.77
Digital Ocean,2908,5,7.43
Vercel,2776,6,7.09
Firebase,2720,7,6.95
Hetzner,1577,8,4.03
Supabase,1368,9,3.49
Netlify,1267,10,3.24
