web_framework,rank,count,share_pct,x,y,bubble_size
Node.js,1,9230,18.51,1,9230,9230
React,2,8999,18.05,2,8999,8999
jQuery,3,4810,9.65,3,4810,4810
Express,4,4408,8.84,4,4408,4408
Next.js,5,4399,8.82,5,4399,4399
ASP.NET CORE,6,4319,8.66,6,4319,4319
Angular,7,4038,8.1,7,4038,4038
Vue.js,8,3642,7.31,8,3642,3642
ASP.NET,9,3094,6.21,9,3094,3094
Spring Boot,10,2916,5.85,10,2916,2916
