education_level,respondent_count,line_value
"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8629,8629
"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5000,5000
Some college/university study without earning a degree,2456,2456
Secondary school,1143,1143
Professional degree,661,661
Associate degree,634,634
Something else,190,190
Primary school,132,132
