database,count,rank,share_pct
PostgreSQL,12193,1,23.65
Redis,6384,2,12.38
SQLite,6295,3,12.21
MySQL,6204,4,12.03
MongoDB,5618,5,10.9
Microsoft SQL Server,4345,6,8.43
Elasticsearch,3665,7,7.11
MariaDB,3078,8,5.97
Dynamodb,2154,9,4.18
Supabase,1623,10,3.15
