web_framework,rank,count,share_pct,x,y,bubble_size
React,1,8223,18.94,1,8223,8223
Node.js,2,8096,18.64,2,8096,8096
Next.js,3,4458,10.27,3,4458,4458
ASP.NET CORE,4,4166,9.59,4,4166,4166
Vue.js,5,3903,8.99,5,3903,3903
Angular,6,3309,7.62,6,3309,3309
Express,7,3216,7.41,7,3216,3216
FastAPI,8,2823,6.5,8,2823,2823
Spring Boot,9,2674,6.16,9,2674,2674
Svelte,10,2559,5.89,10,2559,2559
