DevType,count
"Developer, full-stack",8666
"Developer, back-end",3663
"Developer, front-end",868
Engineering manager,585
Other (please specify):,555
"Developer, desktop or enterprise applications",495
"Senior Executive (C-Suite, VP, etc.)",452
DevOps specialist,342
"Developer, mobile",328
Data engineer,315
