,count,mean,std,min,25%,50%,75%,max
CompTotal,18845.0,5.306447333510215e+60,7.284536590278212e+62,0.0,80000.0,115000.0,175000.0,1e+65
ConvertedCompYearly,18845.0,75350.33518174582,84084.92402779376,1.0,65000.0,65857.5,67129.0,6340564.0
WorkExp,18845.0,11.055346245688511,7.17960031482447,0.0,7.0,10.0,12.0,50.0
JobSat,18845.0,7.450570443088353,1.64636839380504,0.0,7.0,8.0,8.0,10.0
JobSatPoints_6,18845.0,23.42219952241974,22.25718626759225,0.0,10.0,20.0,20.0,100.0
ConvertedCompYearly_MinMax,18845.0,0.011883697895872252,0.01326142868193152,0.0,0.0102512978737061,0.0103865382301224,0.0105870724729018,1.0
ConvertedCompYearly_Zscore,18845.0,8.445825036363091e-17,1.0000265332926537,-0.8961337043344478,-0.1230970941568184,-0.1128988004411102,-0.097776782412512,74.51252378482232
