,CompTotal,ConvertedCompYearly,WorkExp,JobSat,JobSatPoints_6,ConvertedCompYearly_MinMax,ConvertedCompYearly_Zscore
CompTotal,1.0,-0.0008224372642014356,0.03951596156986421,0.01128082784878824,-0.004065867442634738,-0.0008224372642014015,-0.0008224372642014125
ConvertedCompYearly,-0.0008224372642014356,1.0,0.15169975689300275,0.0344730244418711,-0.03975987984850218,0.9999999999999937,0.9999999999999991
WorkExp,0.03951596156986421,0.15169975689300275,1.0,0.07708974274233937,-0.0837842778794685,0.15169975689300305,0.15169975689300302
JobSat,0.01128082784878824,0.0344730244418711,0.07708974274233937,1.0,0.0020613061828229366,0.03447302444187095,0.034473024441870705
JobSatPoints_6,-0.004065867442634738,-0.03975987984850218,-0.0837842778794685,0.0020613061828229366,1.0,-0.03975987984850255,-0.03975987984850209
ConvertedCompYearly_MinMax,-0.0008224372642014015,0.9999999999999937,0.15169975689300305,0.03447302444187095,-0.03975987984850255,1.0,0.999999999999989
ConvertedCompYearly_Zscore,-0.0008224372642014125,0.9999999999999991,0.15169975689300302,0.034473024441870705,-0.03975987984850209,0.999999999999989,1.0
