Industry,count
Software Development,12170
Other:,1139
Fintech,755
"Internet, Telecomm or Information Services",612
Retail and Consumer Services,594
Banking/Financial Services,557
Healthcare,544
Media & Advertising Services,416
Manufacturing,394
"Transportation, or Supply Chain",344
