Age,count,median,mean
65 years or older,75,10.0,22.786666666666665
55-64 years old,632,20.0,22.40981012658228
45-54 years old,2053,20.0,19.056015586945932
Prefer not to say,24,10.0,17.833333333333332
35-44 years old,5149,12.0,13.712565546708099
Under 18 years old,136,10.0,8.860294117647058
25-34 years old,7788,10.0,8.205059065228557
18-24 years old,2988,5.0,5.757697456492637
