Age,count,median,mean
55-64 years old,632,65857.5,99206.86550632911
45-54 years old,2053,65857.5,89433.95445689236
65 years or older,75,65857.5,88410.15333333334
35-44 years old,5149,65857.5,86548.79122159643
Prefer not to say,24,65857.5,79015.16666666667
25-34 years old,7788,65857.5,70846.41313559322
Under 18 years old,136,65857.5,56274.875
18-24 years old,2988,65857.5,53580.42804551539
